,VehicleID,Label,Accuracy,Loss,epoch
0,Slow_11,Slow,8.222794078633203,0.8205852976072017,0.0
1,Slow_8,Slow,8.643784281435185,0.8429342121824894,0.0
2,Slow_26,Slow,8.454745879361228,0.8306253170789177,0.0
3,Slow_0,Slow,8.466733219801515,0.8330624274484388,0.0
4,Slow_20,Slow,7.879938926749339,0.8453780170470949,0.0
5,Normal_10,Normal,7.553518779643635,0.8521550584767685,0.0
6,Normal_27,Normal,8.000595282387083,0.8557301651863825,0.0
7,Normal_13,Normal,9.571267066701452,0.8236696065796746,0.0
8,Normal_8,Normal,8.925855330291304,0.8230905368410307,0.0
9,Normal_30,Normal,7.704177029063118,0.8495544276768536,0.0
10,Dangerous_19,Dangerous,10.24587333379377,0.7964088611518574,0.0
11,Dangerous_31,Dangerous,9.142356940740589,0.8299506385810673,0.0
12,Dangerous_2,Dangerous,9.441159641426664,0.8271870834071462,0.0
13,Dangerous_32,Dangerous,8.156288156288156,0.8328712931834161,0.0
14,Dangerous_4,Dangerous,9.440838418907555,0.8318701588417873,0.0
15,Slow_22,Slow,12.35882090787547,0.768064431530645,1.0
16,Slow_21,Slow,11.050281705113212,0.7880633241262566,1.0
17,Slow_5,Slow,12.134191958457409,0.7759346928426517,1.0
18,Slow_12,Slow,12.570767488800275,0.7732568998975078,1.0
19,Slow_23,Slow,11.733653269346132,0.7789619588364531,1.0
20,Normal_7,Normal,11.912082281029244,0.7880957171286018,1.0
21,Normal_22,Normal,10.924827173262207,0.8054185047780278,1.0
22,Normal_26,Normal,9.6127577114902,0.7980558712308,1.0
23,Normal_31,Normal,10.112507228852321,0.8042712274719687,1.0
24,Normal_15,Normal,13.00704627689964,0.7830411492662037,1.0
25,Dangerous_13,Dangerous,15.416338619577848,0.7271610065329847,1.0
26,Dangerous_28,Dangerous,11.519306507741357,0.7767526640892028,1.0
27,Dangerous_10,Dangerous,11.600818244831025,0.7785478366888883,1.0
28,Dangerous_3,Dangerous,17.37188280398157,0.717349081762721,1.0
29,Dangerous_12,Dangerous,12.125430689451154,0.7759540837697834,1.0
30,Slow_29,Slow,20.78355773463471,0.6563525710291076,2.0
31,Slow_31,Slow,17.76798825256975,0.682695612855924,2.0
32,Slow_3,Slow,20.514404269808843,0.6497807143188199,2.0
33,Slow_15,Slow,15.740824240238075,0.7037129946675699,2.0
34,Slow_13,Slow,15.97912459678477,0.6937945185091672,2.0
35,Normal_24,Normal,17.385465428593356,0.6825635100112242,2.0
36,Normal_3,Normal,17.85850973003209,0.6809999181725884,2.0
37,Normal_14,Normal,14.815583586140827,0.6949895947563405,2.0
38,Normal_0,Normal,16.799604043326795,0.6851107015516926,2.0
39,Normal_12,Normal,18.567664824572677,0.6529736668177454,2.0
40,Dangerous_8,Dangerous,20.151075491686242,0.6673688101627971,2.0
41,Dangerous_25,Dangerous,22.2001160573655,0.627709726439863,2.0
42,Dangerous_20,Dangerous,20.3175253508143,0.6478994424742553,2.0
43,Dangerous_22,Dangerous,20.31683311884867,0.6461491729650233,2.0
44,Dangerous_16,Dangerous,24.09484651311325,0.6092313385131408,2.0
45,Slow_15,Slow,36.25552349174858,0.39336835303121065,3.0
46,Slow_31,Slow,38.566397671305864,0.36976912652337274,3.0
47,Slow_12,Slow,40.280854625116916,0.3747503728378476,3.0
48,Slow_13,Slow,39.30922346647085,0.37249008436131,3.0
49,Slow_10,Slow,42.774796263168355,0.3494342172802505,3.0
50,Normal_1,Normal,38.93309878818339,0.38883459120988845,3.0
51,Normal_19,Normal,38.41439606145489,0.3864306783598571,3.0
52,Normal_30,Normal,37.42625301795342,0.3914649715418052,3.0
53,Normal_24,Normal,37.512470263218475,0.3775624962267922,3.0
54,Normal_23,Normal,37.3050132443834,0.3947382192107923,3.0
55,Dangerous_6,Dangerous,35.36936103457292,0.4208709764603171,3.0
56,Dangerous_15,Dangerous,36.605233304197434,0.4073140667906283,3.0
57,Dangerous_29,Dangerous,36.19443027285681,0.42634236343790977,3.0
58,Dangerous_28,Dangerous,36.77301048156869,0.4011128059228261,3.0
59,Dangerous_14,Dangerous,42.15546342237024,0.3447043842163639,3.0
60,Slow_12,Slow,99.3907842268498,0.03567893940398074,4.0
61,Slow_7,Slow,99.81418657357226,0.0329689618837726,4.0
62,Slow_14,Slow,99.90897474049049,0.036775875678265124,4.0
63,Slow_25,Slow,99.72179463642654,0.03442883347615008,4.0
64,Slow_22,Slow,99.69185713376201,0.035756683859864934,4.0
65,Normal_2,Normal,99.21899274072818,0.03465427833841273,4.0
66,Normal_27,Normal,99.19339236550339,0.033558006300812675,4.0
67,Normal_7,Normal,99.8847040737894,0.033728365238921705,4.0
68,Normal_25,Normal,99.61189979427772,0.03319301317557136,4.0
69,Normal_0,Normal,99.86484171251261,0.03491613751055261,4.0
70,Dangerous_31,Dangerous,89.97821794271522,0.05596934379233668,4.0
71,Dangerous_29,Dangerous,88.35212779058106,0.05778779757491658,4.0
72,Dangerous_32,Dangerous,94.2022792022792,0.04215139560013389,4.0
73,Dangerous_5,Dangerous,90.72387792963764,0.054187459450053134,4.0
74,Dangerous_28,Dangerous,91.71268415678593,0.050313656955957416,4.0
